Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
27.57591880420695,24.160306262578512,32.31473144468131,0.0,0,32193
27.368772690636774,24.157830493181276,32.445148812862975,0.0,0,29841
25.400347289055603,22.06428731651278,30.27654628871225,0.0,1,32822
23.664863260255203,21.511869773458766,29.215617650357256,1.1883997962321111,1,30920
23.73908777694238,21.05449724899045,28.932557783304894,0.0,0,28630
24.04655194064287,19.540322062514992,30.664222571598046,12.364435616266098,0,30212
24.020667625717735,19.44726019581651,33.72328238905073,0.0,0,30963
24.482678140633848,19.5041160842405,33.45345305748073,48.80180158268217,0,32120
28.375382688566294,21.829323499044182,34.858015628523454,4.310872186408345,0,32330
26.99227477981341,21.830361078307078,34.7815207445752,0.0,1,32391
27.656443027949937,22.02033478442026,34.30851737163604,3.361948059369921,1,33687
26.045506370643874,21.34322819886313,35.50691411705712,0.0,0,31964
25.420967380834703,21.228874407507995,35.02942742732012,0.8141382182338064,0,31310
26.535641817567832,21.493230910624906,33.077095345852214,1.6253532540647413,0,30595
25.51062150193785,21.848576126096653,33.030925444533416,2.966015126126234,0,31191
26.2665399968014,22.201540686480136,33.81490249064289,1.9178140063313156,0,31846
28.86475562880607,21.849468455281933,36.14364572103502,0.0,1,35529
28.63258861234241,23.553617141410538,36.3868025854899,0.0,1,34653
27.586161937098982,22.907992694037894,36.60014581474547,3.67773035086775,0,33229
27.13596478949739,23.14824694857602,35.56090141499264,0.593243478435614,0,34951
24.546070712762354,22.96912897890698,31.076719289302535,0.0,0,31005
21.75066191295509,19.48212057825292,25.780603867314095,31.588299374652074,0,30271
20.687062684089614,18.858442994220283,25.722682014197737,3.601320230983669,0,29197
22.98663802184579,19.506821458415146,29.95844030971169,12.942786397242525,1,30678
24.642064417500364,17.864768018353963,30.617554054289933,0.0,1,30826
22.184441645816964,18.903940142345764,28.273328731139646,20.87087479309689,0,29440
23.681873836051153,20.503467891710237,29.11672348536044,1.2288008510637527,0,30331
25.564695037934037,20.07043081908745,29.8609984509407,4.931051355681436,0,29942
25.252042868161162,21.29061270842573,29.348836155626806,0.0,0,30050
22.96249379903302,20.434276311987055,27.08569822101205,0.0,0,30148
21.415398322221723,18.525718546273048,24.66244074563131,0.19649097199692675,1,30473
24.098880604567675,20.362578101199695,28.03474164478254,0.0,1,30718
22.83195027371135,20.726700975772136,27.060539393132522,4.4801166090603415,0,28588
23.296659124726276,17.78560824374131,31.24434108974801,1.5396137153014537,0,31006
21.656487989238176,19.571751983765463,23.92189750886292,3.097847861984681,0,28959
20.479439014208335,19.167126480247983,22.613774299806952,5.51447812063243,0,26206
20.71737150437239,17.940522429947542,26.22244908307854,18.546617611091552,0,28795
22.323163035640214,17.450323671557783,28.902259629439737,16.72850679111774,1,31440
23.109627343921726,17.660674056086123,29.81550136071521,10.428761206319404,1,32118
24.104358771330624,19.38027531928554,29.959430433937086,0.0,0,30654
23.97641514422491,20.246252152769838,28.64212461996059,31.587029716022716,0,31056
25.30042142013036,19.578347943333103,30.96447496169094,2.1990946993119374,0,30788
27.941519587435874,22.654086571854148,32.84072009352252,0.0,0,31228
25.397954883279084,23.034204938286003,31.178515057679874,0.0,0,29917
24.405935888809434,20.80771864965111,32.09214942633833,0.0,1,31711
23.19950945489943,19.686816778559407,27.374873918997974,16.982413223803984,1,31260
21.41797467989771,18.788974104216933,27.877934305716515,23.180073066982143,0,29830
22.549631798567177,19.67334814184698,27.963109014986443,84.4278741800373,0,30647
21.821917985274535,19.630601807826675,26.48106384766413,13.808311433120478,0,28877
23.538067178689932,19.80896549421414,29.00400308234793,2.3988309243389714,0,29663
24.04203101851749,22.100161796095108,27.820360473328478,0.0,0,29249
25.47587528224787,21.14127605156499,30.636836964145466,0.0,1,31487
25.103148071127546,19.973536219783952,30.709217729776075,0.0,1,32070
25.943050327462185,20.992675319289386,31.78959838862159,0.0,0,29463
23.707292203895634,20.651381300420947,31.26317523462444,0.0,0,28563
22.481811518431147,19.120359859322214,28.56689879334874,2.0095399608324214,0,28967
24.614091445497365,18.74433589935545,30.674381161341408,33.995322609399764,0,32011
24.47116303111899,20.1721452529298,31.11599721478094,0.598874600257261,0,31869
22.434086336698417,19.68383483891104,27.53703009163162,0.0,1,31323
